1P,2P,Taller,Aprobado
11,14,3,0
10,20,7,0
9,12,5,0
7,13,7,0
5,12,4,0
7,14,5,0
11,12,3,0
8,12,5,0
12,18,5,0
14,17,3,0
10,14,3,0
10,11,6,0
2,13,4,0
22,12,4,0
19,4,6,0
14,12,7,0
15,9,4,0
6,12,5,0
0,18,7,0
12,14,4,0
10,14,5,0
4,18,4,0
9,18,8,0
7,12,5,0
7,11,3,0
16,25,8,1
19,12,7,0
19,19,4,0
15,23,7,1
13,7,4,0
16,10,6,0
7,13,7,0
15,15,7,1
21,21,5,0
14,21,5,0
3,15,6,0
0,17,4,0
10,19,3,0
5,12,6,0
17,0,2,0
21,12,4,1
12,21,6,1
17,27,4,1
13,11,7,0
13,13,7,0
5,10,3,0
15,20,7,1
4,18,5,0
17,27,7,1
6,9,4,0
21,21,7,0
18,12,6,1
15,16,6,1
15,21,7,0
20,25,4,1
14,4,3,0
14,20,5,0
14,12,4,0
6,13,4,0
17,17,4,1
12,7,4,0
8,14,6,0
8,14,3,0
14,18,3,0
18,17,6,0
8,12,3,0
4,14,2,0
14,10,5,0
15,12,3,0
4,14,6,0
8,18,7,0
9,11,5,0
12,16,3,0
7,12,6,0
21,19,6,1
7,15,6,0
14,10,5,0
11,21,5,0
13,15,5,0
17,18,4,1
9,21,5,1
13,13,6,0
10,22,4,1
7,16,3,0
12,12,7,0
6,13,4,0
8,15,6,0
15,14,7,0
14,12,3,0
11,10,2,0
5,12,6,0
12,13,5,0
11,13,3,0
14,12,4,0
8,16,5,0
8,12,4,0
10,16,4,0
3,12,5,0
14,14,6,0
7,19,2,0
8,15,5,0
14,17,7,1
9,12,4,0
18,24,9,1
7,11,2,0
15,0,4,0
9,12,3,0
16,13,6,0
11,9,3,0
6,11,5,0
18,25,9,1
4,16,7,0
15,15,4,0
17,17,4,0
11,13,2,0
12,24,6,1
17,22,5,1
6,9,4,0
17,14,7,1
12,12,4,0
15,11,3,0
15,27,9,1
14,18,8,0
20,12,7,0
7,16,2,0
8,11,3,0
10,11,2,0
8,12,2,0
9,15,5,0
19,27,6,1
15,15,3,0
2,17,3,0
10,13,2,0
10,8,3,0
13,29,6,1
11,14,6,0
14,10,2,0
12,14,4,0
7,15,8,0
10,12,2,0
10,14,5,0
16,10,2,0
14,12,4,0
8,15,5,0
12,12,2,0
7,12,2,0
12,9,3,0
7,13,3,0
13,12,1,0
4,11,3,0
15,15,5,0
6,9,4,0
10,14,2,0
9,13,5,0
13,11,7,0
14,8,6,0
12,10,3,0
10,14,5,0
18,14,4,0
14,13,5,0
5,22,6,0
11,16,7,0
6,13,7,0
11,10,2,0
18,17,7,1
7,14,6,0
10,12,6,0
10,5,3,0
0,15,3,0
3,12,2,0
2,13,4,0
11,14,5,0
4,11,4,0
17,12,6,0
13,15,7,0
9,15,6,0
8,14,4,0
5,11,6,0
9,6,3,0
4,21,6,0
1,14,6,0
13,13,5,0
7,10,4,0
10,7,7,0
7,10,3,0
7,23,9,0
10,12,4,0
13,20,9,0
5,20,7,0
5,14,4,0
7,8,7,0
5,14,5,0
6,17,3,0
22,17,5,1
13,9,5,0
9,27,7,0
7,32,7,1
2,19,5,0
3,14,7,0
4,14,6,0
9,7,2,0
7,9,5,0
20,32,8,1
19,32,9,1
4,25,7,0
4,11,3,0
4,11,6,0
10,25,8,1
10,36,8,1
10,19,6,1
20,30,8,1
5,17,5,0
11,32,8,1
8,8,4,0
10,33,7,1
10,24,7,1
9,20,6,0
7,11,5,0
23,28,9,1
6,23,6,0
13,23,4,1
20,21,4,1
7,12,5,0
12,23,6,0
14,19,8,1
17,32,10,1
10,21,8,1
10,20,6,0
8,17,6,0
7,15,5,0
5,33,6,1
13,14,5,0
6,14,6,0
14,29,6,1
7,8,7,0
8,31,9,1
8,16,3,0
7,27,5,1
10,19,8,1
15,10,4,0
7,21,4,0
13,23,8,1
5,10,5,0
9,20,8,1
5,21,6,0
18,32,8,1
5,29,7,0
14,18,6,0
10,21,4,0
11,10,2,0
7,8,3,0
6,12,3,0
13,16,6,0
18,30,8,1
11,22,4,0
5,14,5,0
19,36,7,1
1,14,6,0
13,10,2,0
12,17,6,0
4,13,4,0
10,12,2,0
11,18,2,0
6,10,7,0
6,12,4,0
4,20,8,0
8,16,6,0
5,14,8,0
13,17,5,0
11,17,3,0
4,11,7,0
7,17,6,0
5,23,4,0
5,10,4,0
10,33,8,1
4,26,5,1
5,23,7,0
13,31,5,1
11,23,5,0
4,11,2,0
5,10,2,0
8,19,8,0
2,17,8,0
8,16,4,0
5,11,6,0
7,11,4,0
16,25,5,1
9,21,5,0
14,36,5,1
6,9,4,0
7,15,4,0
7,26,7,0
5,13,6,0
7,26,6,0
5,10,2,0
9,25,8,0
8,11,5,0
7,14,6,0
11,14,5,0
9,21,7,1
5,15,2,0
2,13,6,0
4,14,7,0
4,11,6,0
5,14,4,0
7,17,4,0
10,21,7,0
6,9,5,0
2,14,4,0
7,19,5,0
19,36,8,1
19,36,9,1
5,16,6,0
14,36,9,1
6,10,4,0
4,16,4,0
4,16,5,0
7,23,2,0
7,17,6,0
6,23,5,0
8,22,6,0
5,10,4,0
6,19,4,0
7,19,5,0
4,20,5,0
8,23,7,0
20,14,5,1
14,8,7,0
8,20,7,0
3,14,6,0
16,25,9,1
1,14,2,0
10,28,9,1
6,9,5,0
4,20,7,0
12,14,6,0
13,5,3,0
4,24,7,0
10,19,6,0
14,29,4,1
1,14,2,0
7,31,8,1
4,19,7,0
14,10,7,0
5,13,2,0
10,28,8,1
9,31,8,1
5,10,5,0
8,23,8,0
7,13,5,0
7,15,7,0
3,13,7,0
18,33,9,1
8,10,7,0
4,20,6,0
14,31,9,1
7,34,10,1
0,15,5,0
7,18,7,0
4,13,2,0
8,34,7,1
13,27,6,1
8,10,4,0
11,5,3,0
12,36,7,1
3,13,2,0
8,16,7,0
2,15,4,0
0,15,5,0
5,20,5,0
8,9,6,0
4,15,4,0
6,25,7,0
7,12,8,0
10,28,7,0
8,27,4,0
7,18,4,0
14,16,5,0
4,12,5,0
5,10,6,0
7,20,8,0
5,12,9,0
6,16,8,0
10,24,3,0
13,29,8,1
9,8,7,0
9,13,3,0
5,15,7,0
1,14,4,0
1,25,5,0
4,11,3,0
4,24,7,0
6,22,7,0
5,14,5,0
14,5,3,0
9,17,6,0
5,20,4,0
14,21,6,0
10,6,6,0
9,23,9,1
9,32,7,1
12,24,7,1
17,25,6,1
10,10,7,0
8,17,7,0
7,15,4,0
4,21,7,0
7,20,8,1
13,15,7,0
2,13,2,0
14,31,5,1
5,10,4,0
10,13,7,0
5,10,2,0
18,30,6,1
14,18,5,0
9,11,7,0
22,35,8,1
21,8,9,0
12,21,7,0
10,22,10,0
18,32,10,1
7,16,7,0
9,10,4,0
17,12,9,0
12,18,7,0
10,9,9,0
11,5,9,0
5,17,7,0
16,26,8,1
3,19,6,0
17,18,9,0
11,25,9,1
18,14,8,0
11,6,8,0
18,23,8,1
23,27,10,1
15,16,8,0
10,26,10,1
6,15,10,0
9,9,9,0
10,34,6,1
16,21,9,1
14,14,3,0
14,18,9,0
13,9,8,0
22,19,10,1
16,18,8,0
9,25,7,0
17,20,6,1
4,17,8,0
15,14,8,0
17,27,10,1
17,28,9,1
9,29,8,1
12,25,9,1
23,25,9,1
17,23,9,1
24,26,10,1
22,23,5,1
17,19,8,0
7,24,6,0
6,12,10,0
18,8,9,0
17,25,10,1
21,34,6,1
19,33,8,1
11,26,10,0
24,23,9,1
15,23,8,1
17,29,7,1
18,17,7,0
15,1,9,0
24,30,10,1
6,21,8,0
11,21,9,0
3,20,5,0
17,19,8,1
8,11,4,0
19,27,10,1
24,30,10,1
7,25,10,0
7,14,9,0
19,23,9,1
14,21,9,1
18,24,10,1
18,25,10,1
18,23,10,1
10,27,8,1
16,20,9,1
16,18,3,0
14,33,9,1
12,24,9,0
16,17,8,1
11,26,9,1
18,27,10,1
18,24,5,1
13,7,6,0
11,26,9,0
13,13,9,0
15,14,10,0
12,7,4,0
24,19,10,1
9,16,10,0
19,36,9,1
7,10,2,0
24,21,8,1
16,17,7,0
6,23,6,0
12,27,8,1
10,15,10,1
17,8,10,0
4,15,3,0
12,18,7,1
12,22,10,0
24,27,10,1
17,29,10,1
10,26,10,1
15,19,4,0
12,17,10,0
13,18,8,0
14,20,10,0
4,11,4,0
23,34,9,1
20,25,10,1
22,27,10,1
16,18,7,0
4,15,4,0
17,25,8,1
14,26,8,1
17,23,9,1
10,19,8,0
10,11,8,0
15,21,10,1
10,9,6,0
10,18,7,0
17,25,10,1
11,21,8,1
17,27,9,1
8,18,5,0
23,28,10,1
4,15,4,0
24,34,10,1
8,7,7,0
12,13,7,0
9,15,8,0
4,21,10,0
18,11,6,0
10,26,9,0
20,18,9,0
10,8,6,0
8,16,8,0
23,24,10,1
7,15,9,0
11,16,8,0
12,16,9,0
11,15,5,0
24,31,10,1
18,32,10,1
15,27,8,1
12,22,10,1
10,21,10,0
16,27,8,1
10,9,5,0
9,11,10,0
11,19,7,0
13,28,9,1
10,10,7,0
17,29,10,1
10,18,10,1
12,24,7,0
15,21,8,0
12,24,9,1
11,27,10,1
13,26,9,1
17,34,10,1
21,33,6,1
4,16,3,0
7,18,10,0
22,15,9,1
8,9,9,0
24,15,6,1
23,35,7,1
18,36,10,1
12,11,7,0
17,5,4,0
10,22,8,0
9,8,9,0
3,19,5,0
10,16,4,0
17,16,9,1
18,14,10,0
23,26,9,0
24,21,5,0
11,22,2,0
13,16,8,0
4,24,8,0
11,18,10,1
12,21,5,0
18,17,10,0
9,6,10,0
19,27,8,1
15,25,7,1
18,14,8,0
9,19,8,0
12,22,8,0
11,15,10,0
9,20,7,0
10,14,3,0
11,28,8,1
8,21,7,0
13,25,7,0
19,17,6,0
18,17,10,1
16,34,5,1
16,12,9,0
13,31,10,1
22,21,10,1
24,15,9,0
19,26,8,1
0,16,7,0
18,20,8,0
10,15,3,0
21,23,10,1
7,12,3,0
24,28,10,1
16,15,9,0
16,30,9,1
15,0,3,0
16,25,5,0
11,9,5,0
21,28,5,1
12,14,6,0
12,5,2,0
20,22,9,1
0,15,2,0
14,24,7,0
10,20,5,0
9,25,8,0
17,27,9,1
3,19,2,0
20,28,8,1
10,17,4,0
12,9,4,0
12,16,5,0
18,15,2,0
9,10,3,0
6,13,5,0
8,24,4,0
11,23,5,0
13,9,8,0
5,17,5,0
12,16,3,0
14,17,5,0
8,22,6,0
11,27,3,0
6,20,8,0
3,16,2,0
11,22,6,0
13,13,5,0
11,22,7,0
19,17,5,1
14,17,4,1
12,22,5,0
4,12,3,0
10,15,6,0
12,14,5,0
10,5,2,0
20,22,6,1
12,11,5,0
8,16,6,0
16,25,6,1
9,11,5,0
17,24,8,1
14,11,4,0
14,29,7,1
14,7,4,0
15,12,7,0
15,17,8,0
11,20,3,0
16,19,5,0
12,25,5,0
19,27,8,1
17,10,5,0
11,19,5,0
8,11,4,0
12,5,6,0
22,25,9,1
16,28,9,1
16,25,5,0
9,15,5,0
16,25,7,1
8,20,4,0
19,24,7,1
9,21,3,0
21,29,4,1
11,17,2,0
13,27,2,0
8,12,4,0
10,18,7,0
13,26,7,0
17,22,7,1
21,28,9,1
9,16,8,0
17,19,7,0
17,28,7,1
13,10,5,0
15,18,6,0
11,20,3,0
12,11,4,0
18,29,8,1
15,13,3,0
10,13,10,0
14,21,7,0
16,12,6,0
12,11,5,0
17,25,8,1
18,16,8,0
22,33,6,1
13,7,4,0
7,16,2,0
17,22,10,1
19,30,8,1
15,15,2,0
13,20,8,0
15,17,5,0
13,22,7,0
11,15,4,0
10,23,8,0
20,20,7,1
16,23,6,0
12,19,8,0
15,9,4,0
17,31,9,1
15,10,6,0
16,24,7,0
15,21,7,0
22,30,8,1
11,14,4,0
14,16,6,0
12,8,8,0
17,13,3,0
7,9,4,0
13,22,5,0
19,20,5,1
7,19,6,0
24,30,9,1
10,13,3,0
12,18,4,0
10,22,6,0
18,19,6,0
14,21,8,0
10,14,6,0
16,14,4,0
10,8,6,0
13,22,9,0
15,18,7,0
13,30,7,1
13,13,7,0
14,27,7,1
12,13,6,0
11,23,7,0
16,27,3,1
12,10,6,0
7,11,6,0
14,22,8,0
6,21,4,0
9,10,4,0
5,10,4,0
12,18,4,0
19,21,9,1
13,16,6,1
14,28,8,1
12,17,6,0
18,9,8,0
11,7,3,0
17,14,3,0
13,15,6,0
13,14,6,0
18,25,6,1
5,12,7,0
19,24,6,0
8,26,2,0
10,20,8,0
18,23,8,1
8,21,5,0
13,10,6,0
11,24,5,0
7,16,5,0
17,21,5,0
9,27,3,0
17,18,8,1
11,14,6,0
7,8,2,0
10,10,4,0
13,31,8,1
15,8,2,0
12,9,4,0
11,12,2,0
17,31,8,1
14,26,7,0
13,20,4,0
10,27,6,0
6,24,5,0
16,19,6,0
13,15,3,0
18,23,4,0
8,12,3,0
15,18,10,0
15,16,6,0
16,14,5,0
18,29,8,1
12,9,8,0
19,29,7,1
18,29,9,1
11,4,3,0
9,25,6,0
9,23,2,0
13,11,4,0
16,23,5,0
16,26,8,1
10,15,5,0
11,14,4,0
12,24,4,0
14,13,4,0
13,12,2,0
14,14,5,0
18,23,6,1
12,22,4,0
11,23,8,0
20,21,7,1
14,19,6,0
12,11,4,0
10,28,5,0
10,10,4,0
11,20,6,0
11,20,8,0
13,16,4,0
21,31,8,0
9,9,7,0
12,19,8,0
16,30,6,0
20,28,2,1
13,5,8,0
18,28,8,1
11,13,4,0
6,16,2,0
15,25,5,1
14,17,6,0
10,11,5,0
14,19,4,0
14,21,4,0
19,28,8,1
12,20,6,0
11,28,7,1
17,27,5,1
16,7,4,0
8,7,6,0
13,23,4,0
15,27,9,1
10,28,4,0
12,17,2,0
10,26,5,0
16,16,7,0
13,19,5,0
17,28,8,1
18,24,7,1
11,8,5,0
15,10,4,0
7,21,4,0
12,16,8,0
15,16,3,0
11,22,10,1
9,11,3,0
12,20,3,0
22,26,8,1
9,22,5,0
20,13,9,0
18,19,6,0
15,15,5,0
19,9,8,0
12,18,5,0
19,9,4,0
20,20,10,0
17,8,10,0
13,17,7,0
10,15,6,0
8,7,6,0
17,10,8,0
10,18,2,0
5,12,5,0
10,9,9,0
10,18,3,0
16,0,6,0
15,24,7,0
10,12,4,0
8,12,7,0
13,16,8,1
16,14,8,1
20,13,2,1
0,27,7,0
22,28,10,1
13,20,2,0
17,20,8,1
19,21,8,1
15,27,6,1
9,14,9,0
14,18,8,1
15,30,5,1
12,11,7,0
5,13,7,0
19,19,6,1
6,9,10,0
14,12,6,0
8,14,7,0
18,19,10,1
11,14,8,0
11,17,2,0
14,22,8,1
15,23,6,0
18,16,6,1
10,16,2,0
14,25,4,0
17,13,3,0
20,18,10,1
16,11,5,0
13,12,10,0
5,27,3,0
20,16,7,0
5,26,5,1
15,1,6,0
17,18,9,0
13,10,5,0
19,22,10,1
14,20,10,0
19,25,10,1
14,24,7,0
13,8,2,0
13,17,7,1
10,5,4,0
13,16,8,0
14,19,7,1
9,11,2,0
18,13,5,0
19,0,7,0
19,25,6,1
17,16,3,0
10,27,7,0
10,14,5,0
19,3,7,0
17,28,6,1
19,36,10,1
17,8,10,0
14,23,5,0
13,4,7,0
7,14,4,0
19,15,4,0
11,24,9,0
20,21,8,1
7,22,4,0
16,3,6,0
13,21,9,1
16,15,10,0
12,24,7,0
9,25,9,0
16,23,8,0
11,19,8,1
18,11,8,0
19,12,9,0
21,24,7,0
21,15,10,1
5,12,6,0
16,14,6,0
11,17,7,0
8,21,6,1
20,17,4,0
9,14,8,0
18,19,9,0
13,18,5,0
20,13,6,1
14,30,10,1
20,9,10,0
19,21,7,1
17,29,8,1
19,29,10,1
20,28,7,1
19,20,5,0
5,10,10,0
